"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Ryan R.L.","Ryan, Robert L. (7402191716)","7402191716","Research in Landscape Architecture Design Firms: Lessons from Practice","2023","Landscape Journal","42","2","","129","144","15","0","10.3368/lj.42.2.129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176966015&doi=10.3368%2flj.42.2.129&partnerID=40&md5=2918dbeccf13d34926a39e1731637f62","Landscape architecture offices are increasingly being asked to justify design decisions through performance metrics. In response, research is increasing within professional offices. However, while the breadth of academic research has been well-studied, little is known about research within the professional design office. To address this gap, interviews were conducted with research leaders and principals of U.S. landscape architectural firms that promoted research as part of their services. This pilot study explored the range of research conducted; motiva-tions for engaging in research; and firms’ relationships to practice, research methods used, and perceptions of the research skills needed by employees. Examples of what constituted research in practice varied widely between interviewees and was more expansive than the traditional analytic, replicable research conducted in academia. The study found that firms had a range of organizational strat-egies, from research labs to non-profits, internal grants, and informal projects. Firms engaged in research to have a creative outlet and to inform existing projects. Engaging in research helped firms promote innovation, leadership, and marketing. Research allowed practitioners to follow topics that they were passionate about beyond the constraints of project contracts, and generally research was funded through overhead. A surprising result was that firms engaged in research to recruit and retain employees and promote continuing education. Interviewees indicated that academic programs should teach research and critical thinking skills so that graduates are better trained in justifying design decisions. Practitioners perceived a mis-match between academic research and the profession’s project-based knowledge needs, but they were receptive to collaborations with academics to address the chal-lenging questions facing the profession. Future studies are needed to understand how practitioners and academics define research as a starting point for collaboration. © 2023 by the Board of Regents of the University of Wiscons in System.","business management; design labs; innovation; motivations; Professional office","","Review","Final","","Scopus","2-s2.0-85176966015"
"Arunachalam S.; Ramaswami S.N.; Patel P.C.; Chai L.","Arunachalam, S. (57104793200); Ramaswami, Sridhar N. (7003994913); Patel, Pankaj C. (9632546200); Chai, Linlin (57205571898)","57104793200; 7003994913; 9632546200; 57205571898","Innovation-based strategic flexibility (ISF): Role of CEO ties with marketing and R&D","2022","International Journal of Research in Marketing","39","3","","927","946","19","7","10.1016/j.ijresmar.2021.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121289545&doi=10.1016%2fj.ijresmar.2021.11.005&partnerID=40&md5=906701ad3bf4b13c69d98085bfaa4a6d","In this research, using a capability perspective, we first define innovation based, strategic flexibility (ISF) as consisting of three lower-level capabilities- market sensing, resource reconfiguration, and proactiveness; then link it to new-product/innovation outcomes, and develop a new metric of ISF that is input–output based. This metric captures a firm's realized flexibility in translating market opportunities into innovation output. We then examine the role of CEO ties with marketing and R&D in driving a firm's ISF. Combining survey data of 191 CEOs with objective performance data, we find that (a) ISF is positively influenced by the frequency and duration of the CEO's relationship with the two functional units, but negatively influenced by CEO's relationship closeness, and (b) ISF contributes to future profit growth of firms. We test the robustness of our findings to the potential violation of sequential-ignorability assumption as defined in the causal mediation literature and find the results to be robust. The results provide insights into the role of CEO characteristics in driving innovation, and upper echelon's contributions to marketing. © 2021","Causal mediation; CEO ties; Innovation; Strategic flexibility","","Article","Final","","Scopus","2-s2.0-85121289545"
"Iqbal A.; Yasar A.; Tabinda A.B.; Haider R.; Sultan I.A.; Kedwii A.A.; Chaudhary M.M.; Sheikh M.M.; Nizami A.-S.","Iqbal, Asif (58283042100); Yasar, Abdullah (14047681900); Tabinda, Amtul Bari (8381239100); Haider, Rafia (58001161600); Sultan, Imran Ali (57929749000); Kedwii, Aman Anwer (58184148100); Chaudhary, Muhammad Murtaza (58001161700); Sheikh, Muhammad Minhaj (58184565200); Nizami, Abdul-Sattar (56962771300)","58283042100; 14047681900; 8381239100; 58001161600; 57929749000; 58184148100; 58001161700; 58184565200; 56962771300","Waste as Resource for Pakistan: An Innovative Business Model of Regenerative Circular Economy to Integrate Municipal Solid Waste Management Sector","2023","Sustainability (Switzerland)","15","7","6281","","","","0","10.3390/su15076281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152559845&doi=10.3390%2fsu15076281&partnerID=40&md5=69a21f1c873d01f75fb58f95b431c9cd","Municipal solid waste (MSW) management is a global concern, especially in low–middle-income countries such as Pakistan, which require the redressal of MSW treatment issues to attain sustainability in the waste sector. The prosperity of municipal solid waste (MSW) collectors, i.e., the sanitary workers, is critical in the waste management hierarchy. Hence, the health, safety, social welfare, economic conditions and overall wellbeing of this tier need to be focused on more. Safeguarding the interests of the sanitary workers will support the MSW management sector in sustainability, which will help to generate revenue and minimize climatic impacts. An innovative MSW business model with waste ownership and technological intervention has excellent potential to support the sector towards a circular economy in Pakistan, the fifth most populous country in the world, generating about 100,000 metric tons of MSW per day. The proposed recycling business model will ensure a daily material recovery of 26,070 tons with 4721 tons of compost manufacturing in the country, which ultimately helps towards achieving the sustainable development goals (SDGs) and meeting the targets of nationally determined contributors (NDCs) by 2030. In addition, the sector’s economic potential can contribute 5.5% to the total annual budget and possibly pay 1.4% of the gross domestic product (GDP) per annum to service national foreign debt, thus helping maintain the debt threshold value with an opportunity to accelerate the economic growth of Pakistan. © 2023 by the authors.","debt for waste swaps; Islamabad; NSMF; Pakistan; recycling business model; regenerative circular economy","Pakistan; business; economic conditions; innovation; municipal solid waste; recycling; regeneration; resource allocation; waste disposal","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152559845"
"Madden B.J.","Madden, Bartley J. (24352544600)","24352544600","Bet on innovation, not Environmental, Social and Governance metrics, to lead the Net Zero transition","2023","Systems Research and Behavioral Science","40","3","","417","428","11","1","10.1002/sres.2915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140393045&doi=10.1002%2fsres.2915&partnerID=40&md5=1b097ccc78ebca4baafc60d791832d78","The conventional Net Zero perspective with its emphasis on Environmental, Social and Governance (ESG) metrics represents linear cause-and-effect thinking. That is, implementation of the metrics will then change company behaviour with the eventual effect of a successful Net Zero transition. Different perspectives are presented, rooted in systems thinking. Numerous company examples explain why innovation, not ESG metrics, will be the prime mover in achieving Net Zero. The crux of the argument for systems thinking is that a company like Honeywell, currently given an ‘F’ ESG score, is delivering stellar innovations that will enable its customers to significantly reduce their greenhouse gas emissions. As to behaviour, boards of directors should demand new information from management with particular attention to returns on capital versus the cost of capital under scenarios that include a price (tax) on carbon. The integration of corporate finance principles with systems thinking will improve decision-making and facilitate an efficient Net Zero transition. © 2022 The Author. Systems Research and Behavioral Science published by International Federation for Systems Research and John Wiley & Sons Ltd.","ESG; innovation; linear thinking; Net Zero; systems thinking","Behavioral research; Decision making; Gas emissions; Greenhouse gases; Behavioral science; Cause and effects; Environmental, social and governance; Innovation; International federation; IS implementation; Linear thinking; Net zero; System thinkings; Systems research; Systems thinking","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85140393045"
"Sharma S.; Gururani S.; Sarkar P.","Sharma, Sunil (57213924705); Gururani, Suraj (58251292600); Sarkar, Prabir (55755355000)","57213924705; 58251292600; 55755355000","Measuring ideation effectiveness in bioinspired design","2023","Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM","37","","e14","","","","0","10.1017/S0890060423000070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159453539&doi=10.1017%2fS0890060423000070&partnerID=40&md5=6cd0682aaa66123e213a4ca8ce8800c9","Analogies provide better concept generation in engineering design. This ideation can be measured by metrics such as usefulness, novelty, variety, quality, completeness, and quantity. In bioinspired design, biological analogies are used to inspire design concepts. Biological analogies have been provided in earlier studies to measure ideation effectiveness. Tools like IDEA-INSPIRE, DANE, etc., allow designers to search analogies using functions, behaviors, and structures. However, we wanted to inquire about the effect of providing a very large number of biological analogies (26), fulfilling the same function to develop bioinspired solutions. In this paper, an empirical study has been performed to analyze the effect of biological analogies on ideation. The designers are exposed to provided multiple biological analogies and generate concepts for which four ideation metrics: novelty, variety, quality, and quantity metrics are evaluated. The results are compared to the unaided condition where other designers are given the same task. A new method to measure variety using a 2D matrix has been presented. The results suggest that designers can generate bioinspired solutions when multiple biological analogies performing similar functions are provided in a presentable format. Statistically, exposure to multiple biological analogies in idea generation can significantly increase the variety of design ideas. The novelty, quality, and quantity for the biological group and control group remain the same.  Copyright © 2023 The Author(s).","bioinspired; conceptual design; creative design; design techniques; evaluation; innovation","Quality control; Bio-inspired designs; Bioinspired; Biological analogies; Concept generation; Creative design; Design concept; Design technique; Engineering design; Evaluation; Innovation; Conceptual design","Article","Final","","Scopus","2-s2.0-85159453539"
"Balland P.-A.; Broekel T.; Diodato D.; Giuliani E.; Hausmann R.; O'Clery N.; Rigby D.","Balland, Pierre-Alexandre (55204502900); Broekel, Tom (35274452900); Diodato, Dario (56162778300); Giuliani, Elisa (16022110700); Hausmann, Ricardo (7006310305); O'Clery, Neave (55893772700); Rigby, David (7005511130)","55204502900; 35274452900; 56162778300; 16022110700; 7006310305; 55893772700; 7005511130","Reprint of The new paradigm of economic complexity","2022","Research Policy","51","8","104568","","","","8","10.1016/j.respol.2022.104568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138826773&doi=10.1016%2fj.respol.2022.104568&partnerID=40&md5=82cadfcf475ec38a626d5b4be7ce8a19","Economic complexity offers a potentially powerful paradigm to understand key societal issues and challenges of our time. The underlying idea is that growth, development, technological change, income inequality, spatial disparities, and resilience are the visible outcomes of hidden systemic interactions. The study of economic complexity seeks to understand the structure of these interactions and how they shape various socioeconomic processes. This emerging field relies heavily on big data and machine learning techniques. This brief introduction to economic complexity has three aims. The first is to summarize key theoretical foundations and principles of economic complexity. The second is to briefly review the tools and metrics developed in the economic complexity literature that exploit information encoded in the structure of the economy to find new empirical patterns. The final aim is to highlight the insights from economic complexity to improve prediction and political decision-making. Institutions including the World Bank, the European Commission, the World Economic Forum, the OECD, and a range of national and regional organizations have begun to embrace the principles of economic complexity and its analytical framework. We discuss policy implications of this field, in particular the usefulness of building recommendation systems for major public investment decisions in a complex world. © 2021 The Author(s)","Complex systems; Economic complexity; Geography; Innovation; Policy","Decision making; Economic analysis; Investments; Learning systems; Economic complexity; Geography; Income inequality; Innovation; Issues and challenges; Machine learning techniques; Societal issues; Socioeconomic process; Technological change; Theoretical foundations; Public policy","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85138826773"
"Ariefahnoor D.; Ujianto; Nugroho R.","Ariefahnoor, Dewi (58758400600); Ujianto (57214230340); Nugroho, Riyadi (57200205171)","58758400600; 57214230340; 57200205171","THE EFFECT OF INNOVATION, ORGANIZATIONAL LEARNING, AND TEAMWORK ON MANAGERIAL AND ORGANIZATIONAL PERFORMANCE OF RURAL BANKING IN THE PROVINCE OF SOUTH KALIMANTAN","2022","Journal of Modern Project Management","10","2","","135","143","8","0","10.19255/JMPM03011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179486507&doi=10.19255%2fJMPM03011&partnerID=40&md5=8e6aecd4eaf52a18a1b22775e0c9f77f","The banking industry’s objectives can be met through high-caliber job output. The managerial performance largely impacts the success of the banks. Studies on administrative and organizational performance typically analyze performance using just one method. The goal is to investigate and assess how innovation, organizational learning, and teamwork impact the management and organizational performance of rural banking in South Kalimantan Province using a variety of metrics. This study differs from earlier ones in that it assesses business performance using the Balanced Scorecard model and managerial performance using the Mahoney model. In this kind of research, it is unusual to employ organizational learning and teamwork as predictor factors. This study included 140 respondents from 14 rural banks in South Kalimantan Province. Structural Equation Modeling (SEM), carried out using the statistical computer application LISREL, was used to examine the data after it was obtained via a questionnaire. The findings indicate that teamwork, organizational learning, and innovation significantly impact managerial success. Collaboration among managers and their effectiveness greatly affect how well a firm performs. On the other hand, organizational performance is not much impacted by corporate innovation or learning. The results of this study provide crucial empirical support for the growth of organizational behavior theory and application. © 2022 Editora Mundos Sociais. All rights reserved.","innovation; managerial; organizational learning; organizational performance; rural banking; teamwork","","Article","Final","","Scopus","2-s2.0-85179486507"
"Shilomboleni H.; Ismail A.M.","Shilomboleni, Helena (56003784800); Ismail, Abdelbagi M. (57211774906)","56003784800; 57211774906","Gene-editing technologies for developing climate resilient rice crops in sub-Saharan Africa: Political priorities and space for responsible innovation","2023","Elementa","11","1","00145","","","","0","10.1525/elementa.2022.00145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159556374&doi=10.1525%2felementa.2022.00145&partnerID=40&md5=f50d65286f13342cbac10b2cd24db36e","Over the last 2 decades, rice has become one of the most important staple crops for sub-Saharan Africa. Estimates show that average consumption of rice has tripled over the last 3 decades, from 9.2 million metric tons (Mt) in the early 1990s to 31.5 million Mt in 2018, with West and Central Africa accounting for nearly two-thirds of this share. The demand for rice, however, has placed an enormous economic burden on African countries, whereby they spent over USD 5.5 billion per year on rice imports over the past few years.To address this challenge, over 32 countries have established National Rice Development Strategies to increase local production and to achieve rice self-sufficiency. Several of these countries have shown policy interest to use modern biotechnological advancements, including gene editing, to ensure increases in rice productivity and reduce food imports, in the context of extreme climate vulnerability and acceleration of the effects of biotic and abiotic stresses. This review article examines the role of biotechnology in African countries' efforts to achieve rice self-sufficiency, particularly the potential for genome-editing technologies toward the genetic improvement of rice and to Africa's nascent research programs. This article notes that while gene editing offers important advances in crop breeding, like genetic engineering, it faces some persistent sociopolitical challenges and low societal acceptability. As such, international partnerships advancing genome editing in Africa's rice-subsectors development could benefit from adopting key principles from “responsible research and innovation” to help these projects achieve their potential, while bringing about more inclusive and reflexive processes that strive to anticipate the benefits and limits associated with new biotechnologies as they relate to local contexts. Such an approach could create the necessary political space to test and assess the benefits (and risks) related to adopting gene-editing technologies in Africa's rice sectors. Copyright: © 2023 The Author(s).","Climate vulnerability; Crop improvement; Gene editing; Responsible research innovation; Rice; Sub-Saharan Africa","Central Africa; Sub-Saharan Africa; biotechnology; crop improvement; crop production; gene; genome; innovation; prioritization; rice; vulnerability","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159556374"
"Karnchanaphiboonwong A.; Sringam P.; Niwattakul K.; Krommuang T.; Gammie A.","Karnchanaphiboonwong, Adchada (58450918400); Sringam, Patcharawadee (58450213700); Niwattakul, Kawinna (58455142500); Krommuang, Teerayut (58455142600); Gammie, Alistair (58341413700)","58450918400; 58450213700; 58455142500; 58455142600; 58341413700","Innovation, Automation and Informatics Improves Quality in Lerdsin Hospital, Thailand","2023","British Journal of Biomedical Science","80","","11532","","","","0","10.3389/bjbs.2023.11532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163996597&doi=10.3389%2fbjbs.2023.11532&partnerID=40&md5=80187ec24ac24fa3ac1937dac4d6d46f","This paper describes a planned, continuous improvement journey, of a laboratory that has installed a system with a single sample touch from blood draw to result. To achieve this, physical connectivity of systems from phlebotomy through pre-analytical to the analytical phase were paired with informatics connectivity from the patient’s national identity card to the hospital and laboratory informatics management systems (LIMS) and associated middleware. This allowed accurate time stamps to track turnaround time (TAT). TAT metrics were collected from the LIMS for inpatient, emergency room and outpatient samples and tests over a period of 7 months. This time span incorporated the 2-month period before automation was implemented. The results for all tests and specific tests are shown and the results of an analysis of the outpatient phlebotomy workflow are given. The implemented solution has improved outpatient TAT by over 54% and has shown that samples can be collected, and results obtained without touching the sample. Improving intra-laboratory TAT is an important quality goal for all laboratories. The implementation of automation is important in achieving this albeit more about obtaining predictable TAT. Automation does not necessarily improve TAT it removes variation which leads to predictable TAT (PTAT). Automation should only be considered with a strategic vision for the future as it is important to have clear goals and objectives based on the individual laboratories process and needs. Automating a poor process leads to an automated poor process. Here, an innovative use of automation, hardware and software has resulted in marked improvement in TAT across all samples processed in the central laboratory. Copyright © 2023 Karnchanaphiboonwong, Sringam, Niwattakul, Krommuang and Gammie.","automation; informatics; innovation; TAT; turnaround time; Vitros automation system","Automation, Laboratory; Hospitals; Humans; Laboratories; Laboratories, Hospital; Thailand; Time Factors; calcium chloride; cholesterol; creatinine; glucose; Human immunodeficiency virus antibody; sodium; troponin I; Article; automation; cholesterol blood level; consultation; creatinine blood level; emergency ward; glucose blood level; hospital patient; human; information science; medical informatics; outpatient; phlebotomy; Thailand; turnaround time; hospital; hospital laboratory; laboratory; laboratory automation; time factor","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163996597"
"Lilliestam J.; Patt A.; Bersalli G.","Lilliestam, Johan (26039317200); Patt, Anthony (6602116185); Bersalli, Germán (57219098187)","26039317200; 6602116185; 57219098187","On the quality of emission reductions: observed effects of carbon pricing on investments, innovation, and operational shifts. A response to van den Bergh and Savin (2021)","2022","Environmental and Resource Economics","83","3","","733","758","25","5","10.1007/s10640-022-00708-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140947465&doi=10.1007%2fs10640-022-00708-8&partnerID=40&md5=7fb1620e5244948f3ed8ada479e7977d","To meet the Paris Agreement targets, carbon emissions from the energy system must be eliminated by mid-century, implying vast investment and systemic change challenges ahead. In an article in WIREs Climate Change, we reviewed the empirical evidence for effects of carbon pricing systems on technological change towards full decarbonisation, finding weak or no effects. In response, van den Bergh and Savin (2021) criticised our review in an article in this journal, claiming that it is “unfair”, incomplete and flawed in various ways. Here, we respond to this critique by elaborating on the conceptual roots of our argumentation based on the importance of short-term emission reductions and longer-term technological change, and by expanding the review. This verifies our original findings: existing carbon pricing schemes have sometimes reduced emissions, mainly through switching to lower-carbon fossil fuels and efficiency increases, and have triggered weak innovation increases. There is no evidence that carbon pricing systems have triggered zero-carbon investments, and scarce but consistent evidence that they have not. Our findings highlight the importance of adapting and improving climate policy assessment metrics beyond short-term emissions by also assessing the quality of emission reductions and the progress of underlying technological change. © 2022, The Author(s).","Carbon pricing; Climate policy; Decarbonisation; Energy transition; Technological change","Carbon; Climate change; Costs; Decarbonization; Emission control; Fossil fuels; Carbon emissions; Carbon pricing; Climate policy; Decarbonisation; Effect of carbons; Emission reduction; Energy systems; Energy transitions; Pricing systems; Technological change; carbon emission; climate change; emission control; environmental policy; innovation; investment; Investments","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85140947465"
