"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Onoda T.; Ito Y.","Onoda, Takashi (57196469286); Ito, Yasunobu (56555573700)","57196469286; 56555573700","On the boundary of services and research collaborations in Japanese state-of-the-art academic research infrastructures","2022","Science and Public Policy","49","3","","488","498","10","0","10.1093/scipol/scac002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133510549&doi=10.1093%2fscipol%2fscac002&partnerID=40&md5=23dc6877de6131b9545f33d2276a6561","Recently, research infrastructures (RIs) are recognized to take on a crucial role in the national innovation system in driving open innovation via shared use that include offering measurement service to external users. Generally, these services are performed by staff in line with the social division of labor as scientists and technicians in research institutes. However, services rarely lead to research collaborations because research collaborations generally do not stem from services per se and require researchers to engage more with partners in initiating collaboration. This article focuses on its boundary of services and research collaborations by conducting an ethnographic survey of four years since 2016 to analyze epistemic cultures in eight Japanese state-of-the-art RIs. It first examines what is occurring at the boundaries and offers two frameworks, i.e. the subject-driven approach and the user-driven approach, for finding potential solutions to the issues that impedes service from extending into research collaboration.  © 2022 The Author(s) 2022.","academic cultures; research infrastructures; services and research collaboration in academia","academic research; culture; innovation; labor division","Article","Final","","Scopus","2-s2.0-85133510549"
"Zor S.","Zor, Shutter (57835500900)","57835500900","A neural network-based measurement of corporate environmental attention and its impact on green open innovation: Evidence from heavily polluting listed companies in China","2023","Journal of Cleaner Production","432","","139815","","","","0","10.1016/j.jclepro.2023.139815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177834348&doi=10.1016%2fj.jclepro.2023.139815&partnerID=40&md5=3065790f7153c3fffada7106a44718d5","Increasingly prominent global climate and environmental issues have raised concerns about the living environment and the scrutiny of production and innovation in heavily polluting industries. Environmental concerns can evolve into environmental regulation in the legal sense, as well as environmental attention in informal rules. Although there has been a lot of research on environmental regulation and green open innovation (proportion of collaborative filings in green patents), there is still a lack of identification of the impact of the role of environmental attention, especially in heavily polluting industries that are critical to the economy. Based on this background, this paper uses the relevant data of listed companies in China's heavily polluting industries as a research sample. We use neural networks (Word2Vec) to extract indicators of environmental attention from the text of listed companies' annual reports and measure their impact on green open innovation using multidimensional fixed effects regression. Our research shows that the environmental attention of listed companies in highly polluting industries will significantly reduce their ability to engage in green open innovation. Ultimately, our study will help managers in heavily polluting industries rebalance the economic benefits and environmental transformation of their companies. © 2023 Elsevier Ltd","Environmental attention; Firm innovation; Green open innovation; Green patents; Neural network","Patents and inventions; Corporates; Environmental attention; Firm innovation; Global climates; Green open innovation; Green patent; Measurements of; Network-based; Neural-networks; Open innovation; Environmental regulations","Article","Final","","Scopus","2-s2.0-85177834348"
"López-Balboa A.; Blanco-González A.; Díez-Martín F.; Prado-Román C.","López-Balboa, Adrián (57222050509); Blanco-González, Alicia (55321865800); Díez-Martín, Francisco (55322021000); Prado-Román, Camilo (55321795000)","57222050509; 55321865800; 55322021000; 55321795000","Macro level measuring of organization legitimacy: Its implication for open innovation","2021","Journal of Open Innovation: Technology, Market, and Complexity","7","1","53","1","14","13","7","10.3390/joitmc7010053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101141519&doi=10.3390%2fjoitmc7010053&partnerID=40&md5=5114cbb8834626866c520b3f96259c01","Although the field of organizational legitimacy is undergoing great advances, academics are still facing the challenge of its measurement. Currently, academics are focusing on improving and homogenizing legitimacy measurement systems at the micro level. However, measuring legitimacy at the macro level has not evolved according to the needs and possibilities provided by new technologies. This research aims to develop a new methodology to measure organizational legitimacy at the macro level, capable of processing large amounts of information. To this end, an analysis of the news content of the 50 companies that make up the EuroStoxx50 has been conducted for a full year. By doing so, we make three key contributions to managing organizational legitimacy. First, we provide a more complete and reliable measurement of organizational legitimacy thanks to mass information processing techniques, providing a technology-based solution to the obsolescence problem of legitimacy evaluation models at the macro level. Second, we provide empirical evidence of the relationship between legitimacy and organizational success based on the analysis of mass information. Third, we show evidence that a bias is introduced in the measurement of legitimacy due to the use of different sources for this purpose. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Legitimacy; Media; News aggregator","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85101141519"
"Ying Z.H.; Fen W.B.","Ying, Zhang Hui (58119861300); Fen, Wang Bei (58120089800)","58119861300; 58120089800","The relationship between the open innovation s trategy and the performance of new products; [开放式创新策略与新产品绩效的关系研究]","2019","Journal of Industrial Engineering and Engineering Management","33","1","","94","101","7","4","10.13587/j.cnki.jieem.2019.01.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115228751&doi=10.13587%2fj.cnki.jieem.2019.01.010&partnerID=40&md5=ef89e0adc9bffe40290e3f695e7d4349","In former studies, the measurement of open innovation is confined to a single dimension Thus, open innovation measures either search breadth or search depth. However, single dimension measurement of open inno vation cannot effectively explain the complex relationship between a firm’s open innovation and the corresponding business performance. Therefore, to explore comprehensively the relationship between open innovation an d its corresponding performance, we mea sure open innovation by using both search breadth and search depth. Although many scholars have paid attention to the influence of environmental factors on the relationship between open innovation and business performance, very few studies consider environ mental factors as important mediating variables. According to strategy contingency theory, the effectiveness of outside search, which includes both search breadth and search width, will be significantly affected by the market environment (Lee, C., L ee, k. & Pennings, j. m., 2001). There are two important variables describing the market environment, namely competition intensity and volatility (Morgan, r. m. & Hunt, s. D., 1994). Existing research considers market volatility as an important environment variab le (Laursen, 2014), but few studies consider the intensity of competition as an important environment variable. However, studies have shown that when competition in the market is intense, the faster new pr oducts are introduced the higher the business perfo rmance is. Because of its speed and efficiency advantages of open innovation, the cost of open innovation can often be offset by benefit in the fierce competition environment. On the contrary, when the competition is not so intense, the cost of open innovation could not be offset by the corresponding benefit. Therefore, we consider the market competitive environment as an important environment variable to fill the research gap. In previous studies, when dealing with the measurement of open innovation for ou tside dimensions, partners usually include suppliers, customers, universities, research institutions and other p eer enterprises (Laursen, 2006). However, peer enterprises (rivals) are not listed separately. However, in the fierce competition environment co operat ion in depth with competitors is obviously different from cooperation in depth with non competitors because of knowledge leakage risks. Our study is an attempt to fill this gap. Our paper uses the questionnaire method to collect empirical data. D ifferent from previous studies using large enterprises, our paper uses small and medium sized enterprises as research objects. The first reason is that there are numerous small and medium sized enterprises in China, and they are an important part of nation al economy. Compared with large firms, small and medium sized ente rprises lack funds and personnel. they are much more urgent to rely on open innovation to help improve innovation performance. In the process of using questionnaire to collect data, we found that the frequency of open innovation in small and medium sized enterprises is high and increasing Empirical results show that when cooperating with non competitors, the market environment competition positively adjusts the relationship between ope n innovation and the corresponding performance significantly. In a fiercely competitive environment, two types of external sear ches (the depth and width of the cooperation with the non competitors) have significant positive correlations with enterprise per formance. In the less fiercely competitive environment, cooperation with the non competitors negatively adjusts the relationship between open innovation and the corresponding performance. However, when cooperating with competitors, the market environment competition negatively adjusts the relationship between open innovation and the corresponding business per for mance.That in a fiercely competitive environment, cooperating in depth with competitors negatively affects enterprise performance. For small a nd medium sized enterprises, our results show that in fiercely competitive environment, cooperating both in more breadth and in more de pth with non competitors can effectively and significantly improve business performance. In cooperating in dept h with competitors will reduce business performance. © 2019,Journal of Industrial Engineering and Engineering Management. All Rights Reserved.","Competitive market environment; Open innovation; Rivals; T he breath strategy; The depth external search strategy","","Article","Final","","Scopus","2-s2.0-85115228751"
"Benešová D.; Kubičková V.; Prváková M.","Benešová, Dana (56049787100); Kubičková, Viera (56049411900); Prváková, Miroslava (57220127834)","56049787100; 56049411900; 57220127834","Open innovation model in the knowledge intensive business services in the slovak republic*","2020","Entrepreneurship and Sustainability Issues","8","2","","1340","1358","18","4","10.9770/jesi.2020.8.2(79)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097006161&doi=10.9770%2fjesi.2020.8.2%2879%29&partnerID=40&md5=bf6fa84c806a0a64bf760a13c2ebd63d","Innovation and its management has been a current challenge for companies in the knowledge economy. Open innovation is a system that creates and uses synergies from sharing and collaboration. The digital economy and society support the emergence and functioning of open innovation systems. In the Slovak Republic´s environment, the management of innovations through an open mechanism is a perspective for the development of knowledge intensive business services (KIBS). These services are an important link in the value chain of the Slovak economy focused primarily on the automotive industry. The article deals with the creation of a model of open innovation in the environment of KIBS production in the Slovak Republic. Its elements and their classification are based on the results of the primary survey carried out by the Delphi method. The importance of individual elements thus reflects the priorities of innovation management of KIBS companies in the Slovak Republic. In the current theory, we do not find a model with these specifications. The presented model thus represents an original result supported by the primary research in a specific environment. The construction of the model identifies three building components of the open innovation mechanism: preparation and planning, implementation, evaluation of outputs and a value creation. They are complemented by factors, risks and effects. The model provides the possibility of measurement at the level of inputs and outputs. © 2020 by author(s).","Knowledge intensive businees services; Model; Open innovation; The Slovak Republic","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85097006161"
"Paredes K.M.B.; Ritzén S.; Olander Roese M.","Paredes, Karla Marie B. (58088128700); Ritzén, Sofia (15824287200); Olander Roese, Malin (55441127500)","58088128700; 15824287200; 55441127500","Exploring the use of innovation measurement in retail organisations: a multiple case study","2023","International Review of Retail, Distribution and Consumer Research","","","","","","","0","10.1080/09593969.2023.2264542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173640769&doi=10.1080%2f09593969.2023.2264542&partnerID=40&md5=df545a785244c2bae11d257632c78133","Innovation and its management in retail organisations is an emerging field, yet the measurement of innovation in this context remains challenging and under-researched. The study investigates innovation in large Swedish retail companies, focusing on monitoring and measurement of innovation performance. Through a qualitative, multiple case study, our findings reveal that retailers are aiming to become more active innovators. They are exerting a greater control over the innovation process, implementing a range of financial and non-financial indicators that encompass inputs, outputs, and the process itself. Innovation projects serve as vehicles for experimentation and learning about how to improve the structure of innovation efforts. However, challenges still arise when strategic objectives are not aligned with performance measurements across the organisation. Nonetheless, existing performance measurement practices can support innovation capability development in retail, especially in relation to culture and competence development and utilising external knowledge for open innovation. The paper advances theory by offering insights into how retailers gain more control of innovation through measurement, contributing to the growing landscape of strategic innovation management in retail. We propose a model, informed by theoretically built framework and empirical data, to guide retail organisations in defining new measurements that promote a holistic perspective to building innovation capability. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","innovation; innovation measurement; Retail innovation; retailing","","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173640769"
"Shon M.; Lee D.; Lee C.","Shon, Minjung (57217470665); Lee, Daeho (56900097000); Lee, Changjun (57192834038)","57217470665; 56900097000; 57192834038","Inward or outward? Direction of knowledge flow and firm efficiency","2022","International Journal of Technology Management","90","1-2","","102","121","19","1","10.1504/IJTM.2022.10048641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135406466&doi=10.1504%2fIJTM.2022.10048641&partnerID=40&md5=736a8a9dbc864e2a968e91849f8cef93","Open innovation literature has focused on the excellence of open innovation strategy, factor analysis of open innovation, and firms' performance measurement according to open innovation types. However, few studies have compared firms' technical efficiency in their opening direction when performing open innovation strategy. This study compared the technical efficiency of four different open innovation strategies (inward, outward, both, and closed) and analysed the associated factors. To measure the technical efficiency and technology gap ratio among the different strategic groups, we introduced stochastic frontier analysis and meta-frontier analysis in terms of open innovation. The results showed that, first, companies opening both directions hardly achieve higher technical efficiency than those with unidirectional (in-or out-wards) strategy, and second, an inward direction of knowledge flow changes companies to achieve high potential, whereas an outward direction of knowledge flow helps companies achieve high efficiency. Therefore, we insist that the direction of open innovation strategy conditions firms' technical efficiency. This study enriches the empirical bodies in the open innovation literature and provides managerial implications to corporate leaders who consider an open innovation strategy for productivity gains. © 2022 Inderscience Enterprises Ltd.","inward strategy; meta-frontier analysis; open innovation; outward strategy; technical efficiency; technology transfer","Efficiency; Productivity; Stochastic systems; Firm efficiencies; Frontier analysis; Innovation strategy; Inward strategy; Knowledge flow efficiencies; Knowledge-flow; Meta-frontier analyse; Open innovation; Outward strategy; Technical efficiency; Technology transfer","Article","Final","","Scopus","2-s2.0-85135406466"
"Yalcin H.; Daim T.U.; Dabic M.; Garces E.","Yalcin, Haydar (41762989500); Daim, Tugrul U. (35565192000); Dabic, Marina (6507123949); Garces, Edwin (29467445400)","41762989500; 35565192000; 6507123949; 29467445400","Exploring technology and engineering management research landscape","2019","2019 IEEE Technology and Engineering Management Conference, TEMSCON 2019","","","8813561","","","","1","10.1109/TEMSCON.2019.8813561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072612062&doi=10.1109%2fTEMSCON.2019.8813561&partnerID=40&md5=f327625e1ceb6da3244c839a0fb78238","This study set out to explore the basic features of the field by using scientific articles in the field of Technology and Engineering Management (TEM). In this context, publication data indexed in Web of Science (WoS) were used. The obtained data were recorded in the relational database and prepared for analysis. In the analysis of the data, the R programming language, the CiteSpace and the Ggplot2 library were used. Social Network Analysis (SNA) and Bibliometric were used as methods. Accordingly, the longest-running journal in the field is IEEE-TEM. We identified 6 basic clusters in TEM studies; Open innovation, management practices, bibliometric analysis, corporate opinion, academic success creation and health technology literature. Author collaboration in the TEM field shows an increasing trend. For 2018, the average number of authors per publication was calculated as 2.98. In the area of TEM, literature obsolescence (aging) ranges from 12 to 18 years. In terms of the topics discussed in the field, a change has been observed since 2003. In other words, number of researches on the topics in SMEs, regional information system, efficiency measurement model and strategic information system clusters has been decreasing since 2003. © 2019 IEEE.","author productivity; bibliometrics; information management; social network analysis (SNA); Technology and engineering management","Information systems; Information use; Obsolescence; Social networking (online); Social sciences computing; Bibliometric analysis; Bibliometrics; Efficiency measurement; Engineering management; Management practices; Regional information systems; Relational Database; Strategic information systems; Information management","Conference paper","Final","","Scopus","2-s2.0-85072612062"
"Kurniawati A.; Ari Samadhi T.M.A.; Wiratmadja I.I.; Sunaryo I.; Reynaldo R.","Kurniawati, Amelia (36835794300); Ari Samadhi, T.M.A. (57194498613); Wiratmadja, Iwan Inrawan (55320228400); Sunaryo, Indryati (55351273000); Reynaldo, Rocky (57192094106)","36835794300; 57194498613; 55320228400; 55351273000; 57192094106","Knowledge Management and Open Innovation for Improving Social Performance of Small and Medium Industry: A Pilot Study","2022","Intelligent Engineering and Management for Industry 4.0","","","","127","135","8","0","10.1007/978-3-030-94683-8_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160168234&doi=10.1007%2f978-3-030-94683-8_12&partnerID=40&md5=c10be5f1abea28492408dbae9cc2b2ed","Social performance is a measurement of organizational outcome in social, environmental, economic, and government domain by considering multiple stakeholders. Increasing the social performance of Small and Medium Industry (SMI) can be done through innovation. Innovation concept that is suitable to be implemented in SMI is open innovation. Open innovation is characterized by the existence of knowledge flow among SMIs and between SMI and stakeholders. Knowledge flow in an organization is managed through knowledge management. The relationship between knowledge management and open innovation has been discussed in previous literature. However, there is no previous research that identifies the role of knowledge management and open innovation which supports the enhancement of SMI’s social performance. In this study, a conceptual model which represents the relationship between knowledge management and social performance through open innovation in SMI context is developed and tested. The knowledge management concept is represented by knowledge identification, knowledge acquisition, knowledge retention, knowledge sharing, and knowledge application. The open innovation concept consists of two dimensions which are inbound and outbound. The social performance concept is represented by the focus on community and employee. The respondents of this study are 27 small and medium industries which produce batik in Indonesia. The model is tested using the partial least square. The result shows a significant relationship between knowledge acquisition and inbound open innovation, knowledge sharing and outbound open innovation, and inbound open innovation and social performance. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.","Knowledge management; Open innovation; Social performance","","Book chapter","Final","","Scopus","2-s2.0-85160168234"
"Kitagawa H.; Ushiki T.; Sugiyama M.; Ito S.; Tamochi R.; Shinada H.","Kitagawa, Hiroshi (55441672200); Ushiki, Tatsuo (7005660156); Sugiyama, Masaaki (35308194900); Ito, Sukehiro (56518770800); Tamochi, Ryuichiro (6506501637); Shinada, Hiroyuki (6602099008)","55441672200; 7005660156; 35308194900; 56518770800; 6506501637; 6602099008","Use of interdisciplinary knowledge to improve measurement and analysis technology","2016","Hitachi Review","65","7","","8","13","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988941378&partnerID=40&md5=723a5b512c59df149ad000e7683ea09c","Part of the foundations of science and industry, measurement and analysis technologies are used in a wide variety of fi elds, including the development of new materials, biology, electronics, the environment, and renewable energy. Hitachi has contributed to the development of industry and society through measurement and analysis technology and its applications, having had a long involvement in instrumentation, electron microscopes, spectrophotometers, and other such devices. Along with strengthening its core technologies and expanding its product range, Hitachi is also pursuing collaborative creation and open innovation with customers in specialist fi elds, utilizing measurement and analysis technology to provide extensive support everywhere from the latest academic research to industry.","","","Review","Final","","Scopus","2-s2.0-84988941378"
