"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Ardalan S.; Farjadrad R.; Kuemerle M.; Poulton K.; Subramaniam S.; Vinnakota B.","Ardalan, Shahab (57207525762); Farjadrad, Ramin (57190487034); Kuemerle, Mark (36699847600); Poulton, Ken (57219174531); Subramaniam, Suresh (57827020800); Vinnakota, Bapiraju (57217924493)","57207525762; 57190487034; 36699847600; 57219174531; 57827020800; 57217924493","Chiplet communication link: Bunch of Wires (BoW)","2021","IEEE Micro","41","1","9271827","54","60","6","9","10.1109/MM.2020.3040410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097126019&doi=10.1109%2fMM.2020.3040410&partnerID=40&md5=8dba376189b8bf12f6c2ac73f1cb1d5c","Bunch of wires (BoW) is a new open die-to-die (D2D) interface that aims to gracefully tradeoff performance for design and packaging complexity across a wide range of process nodes. BoW performance can range from 320 Gb/s/mm with a simple design and packaging to 1+ Tb/s/mm with complex design and/or packaging. BoW directly enables heterogeneous integration, a primary advantage of chiplets. We discuss progress on BoW based on extensive design and performance studies by engineers from multiple companies. These studies aim to make BoW easy to use in a system. This open innovation project will deliver a low-complexity D2D interface with competitive power-performance metrics with the economies of scale for services and technologies associated with an open ecosystem.  © 1981-2012 IEEE.","BoW; Bunch of Wires; chip-tochip; chiplet; Die-to-Die; interface; MCM","Economics; Competitive power; Complex designs; Economies of scale; Extensive design; Heterogeneous integration; Open innovation; Performance study; Process nodes; Economic and social effects","Article","Final","","Scopus","2-s2.0-85097126019"
"Leon G.; Tejero A.; Franco-Riquelme J.N.; Kline J.J.; Campos-Macha R.E.","Leon, Gonzalo (7102863346); Tejero, Alberto (57202057062); Franco-Riquelme, Jose N. (57209198738); Kline, John J. (57209911279); Campos-Macha, Raquel E. (57209910289)","7102863346; 57202057062; 57209198738; 57209911279; 57209910289","Proximity Metrics for Selecting RD Partners in International Open Innovation Processes","2019","IEEE Access","7","","8736777","79737","79757","20","4","10.1109/ACCESS.2019.2923094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069039547&doi=10.1109%2fACCESS.2019.2923094&partnerID=40&md5=88fd0d63b439ca5ba684c1f494a7e36f","The implementation of open innovation models for RD activities has been extensively tested by many public and private institutions by using several models; however, both lessons learned and rationale for internal decision-making have not been systematically analyzed to serve as a basis for future institutional process management improvements, which increase the success rate. The large diversity of cases, firms, sectors and open activities, and the multiple factors affecting success has made it difficult to elaborate a general framework where to extract from some policy design rules adapted to specific contexts; thus, involved firms do not have a consolidated framework to measure the effectiveness of the open innovation practices in use. Open innovation for RD activities conducted by multinational firms is usually carried out at the international level looking for specific knowledge and complementarity of partners. One of the critical factors for success in open innovation activities is the 'right selection of adequate partners'. This paper postulates that the multi-variable selection based on the previous characterization of the relationship between the firm and one potential international partner constitutes a key factor for success. In addition, the article presents a semi-quantitative approach to measure the 'differences' (a metrics based on 'proximity' is defined) to analyze and compare between different partners from several dimensions. The key goal is to select external partners with the 'minimum distance' to the firm. The proposed selection metrics were applied to various open research projects launched with university partners in the three Latin American countries (Mexico, Chile, and Peru). © 2013 IEEE.","data collection; Innovation management; inter-cultural constraints; metrics of distance; open innovation; open international networks; partners' profile; relationships framework; scalability of open management processes","Data collection; Innovation management; inter-cultural constraints; International networks; Management process; metrics of distance; Open innovation; partners' profile; relationships framework; Decision making","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85069039547"
"","","","12th Joint Conference on Knowledge-Based Software Engineering, JCKBSE 2018","2019","Smart Innovation, Systems and Technologies","108","","","","","258","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051797387&partnerID=40&md5=b3c4bb925e3dbb6fb669f5fb20845703","The proceedings contain 26 papers. The special focus in this conference is on Knowledge-Based Software Engineering. The topics include: Bibliometrics EEG metrics associations and connections between learning disabilities and the human brain activity; effectiveness of automated grading tool utilizing similarity for conceptual modeling; generating scenarios with access permission from a conceptual model; a knowledge transfer support system from text-based work reports with domain ontologies; support tool for refining conceptual model in collaborative learning; tool to automatically generate a screen transition model based on a conceptual model; 3D formation control of swarm robots using mobile agents; towards a secure semantic knowledge of healthcare data through structural ontological transformations; group affect recognition: Optimization of automatic classification; analysis of specification in Japanese using natural language processing; an artificial immune system-based approach for the extraction of learning style stereotypes; a sightseeing guidebook automatic generation printing system according to the attribute of tourist (KadaTabi); the development of the system which creates lecture contents by a combination of various units and learning content s; development case of information services to accelerate open innovation and implementation: Through demonstration experiments in Kagawa; automated decision making and personal data protection in intelligent tutoring systems: Design guidelineso; authoring technological and platform independent learning material and student’s progress profile using web services; computerized adaptive assessment using accumulative learning activities based on revised bloom’s taxonomy; deriving successful factors for practical ai system development projects using assurance case; estimation of business rules using associations analysis; notification messages considering human centered design.","","","Conference review","Final","","Scopus","2-s2.0-85051797387"
"Enkel E.; Bell J.; Hogenkamp H.","Enkel, Ellen (8373660100); Bell, John (55472305700); Hogenkamp, Hannah (54420001600)","8373660100; 55472305700; 54420001600","Open innovation maturity framework","2011","International Journal of Innovation Management","15","6","","1161","1189","28","84","10.1142/S1363919611003696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955194502&doi=10.1142%2fS1363919611003696&partnerID=40&md5=912b024c138317430481da2acf485546","Open innovation can introduce new ways of organizing the innovation process within companies, but these new activities and processes naturally require some time to mature and work effectively. Continuous improvement of capacities and results is therefore required (Teece et al., 1997; Winter, 2003). The basic aim of this research was to develop, in collaboration with 15 companies, an open innovation maturity framework to measure and benchmark excellence in open innovation. The open innovation maturity framework that was developed combines metrics in several areas of open innovation to illustrate the expertise of that organization. It can reveal organizational excellence as well as areas of improvement in order to reach the next level of maturity. © 2011 Imperial College Press.","excellence; maturity framework; metrics; Open innovation","","Conference paper","Final","","Scopus","2-s2.0-82955194502"
"","","","Combining humans and machine learning: A novel approach for evaluating crowdsourcing contributions in idea contests","2018","MKWI 2018 - Multikonferenz Wirtschaftsinformatik","2018-March","","","217","228","11","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048662555&partnerID=40&md5=22df11e3eb1e29f95fa4448e9450df4c","The creative potential from innovative contributions of the crowd constitutes some critical challenges. The quantity of contributions and the resource demands to identify valuable ideas is high and remains challenging for firms that apply open innovation initiatives. To solve these problems, research on algorithmic approaches proved to be a valuable way by identifying metrics to distinguish between high and low-quality ideas. However, such filtering approaches always risk missing promising ideas by classifying good ideas as bad ones. In response, organizations have turned to the crowd to not just for generating ideas but also to evaluate them to filter high quality contributions. However, such crowd-based filtering approaches tend to perform poorly in practice as they make unrealistic demands on the crowd. We, therefore, conduct a design science research project to provide prescriptive knowledge on how to combine machine learning techniques with crowd evaluation to adaptively assign humans to ideas. © 2018 Leuphana Universitat Luneburg. All rights reserved.","Design-science research; Idea contests; Idea filtering; Machine learning","Artificial intelligence; Design; Quality control; Algorithmic approach; Creative potentials; Critical challenges; Design-science researches; Idea contests; Idea filtering; Machine learning techniques; Resource demands; Learning systems","Conference paper","Final","","Scopus","2-s2.0-85048662555"
"Spagnoli F.; van der Graaf S.; Brynskov M.","Spagnoli, Francesca (6602373762); van der Graaf, Shenja (24072482100); Brynskov, Martin (15059926100)","6602373762; 24072482100; 15059926100","The Paradigm Shift of Living Labs in Service Co-creation for Smart Cities: SynchroniCity Validation","2019","Lecture Notes in Information Systems and Organisation","27","","","135","147","12","9","10.1007/978-3-319-90500-6_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049369176&doi=10.1007%2f978-3-319-90500-6_11&partnerID=40&md5=8b894458ebafc4fe09b00a340959cdb8","In the literature there are many definitions of co-creation and several disciplines are involved within this approach, especially co-design, participatory design and open innovation. Co-creation has been linked with many tools and platforms, without a coherent framework and specific guiding principles to follow, especially within the smart cities’ context for developing new services. For this reason, it is required to clearly define which are the methods and digital tools that cities should pursue to fully exploit the potential of these platforms in terms of enhancing global collaborations. Starting from the review of the literature on participatory design, co-creation and open innovation, the paper aims to discuss the role of Living Labs in supporting service design for smart cities, by providing an effective approach for involving stakeholders in real life experimentation through digital platforms. The evaluation has taken into account the current use of co-creation approaches by eight smart cities involved in the SynchroniCity project, and considered as the current best practices in Europe. The analysis focused on timing, stakeholders, activities for involving citizens, rewarding systems, tools and metrics used to investigate the success of their implementation. Ten methods and twelve tools have been selected as the one best supporting smart cities in service design and their real application has been investigated through an online questionnaire and in depth interviews to the cities. As a result of the study, Living Lab has resulted as the most used and effective method for the smart cities in the EU for service design. © 2019, Springer International Publishing AG, part of Springer Nature.","Co-creation; Internet of things; Living labs; Participatory design; Service design; Smart cities","","Book chapter","Final","","Scopus","2-s2.0-85049369176"
"Chesbrough H.","Chesbrough, Henry (6603859674)","6603859674","Managing open innovation","2004","IEEE Engineering Management Review","32","2","","52","56","4","4","10.1109/EMR.2004.25050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142742437&doi=10.1109%2fEMR.2004.25050&partnerID=40&md5=6cbd00a2d84c41045b5d586b19a78488","A paradigm shift is occurring in how companies commercialize knowledge, from Closed Innovation to Open Innovation. The Open Innovation paradigm assumes that firms can and should use external as well as internal ideas, and internal and external paths to market, as they look to advance their technology. It assumes that internal ideas can also be taken to market through external channels, outside a firm's current businesses, to generate additional value. To manage innovation within such system and to monitor the opportunities offered by that system, companies need to alter their usual metrics for managing innovation.","","Customer satisfaction; Marketing; Research and development management; Societies and institutions; Technology; Closed innovation; Market uncertainty; Open innovation; Technical uncertainty; Industrial management","Article","Final","","Scopus","2-s2.0-3142742437"
"Kuhlman C.; Ramamurthy K.N.; Sattigeri P.; Lozano A.C.; Cao L.; Reddy C.; Mojsilovic A.; Varshney K.R.","Kuhlman, C. (57194613570); Ramamurthy, K.N. (58635833300); Sattigeri, P. (35180457200); Lozano, A.C. (7103406749); Cao, L. (56085779300); Reddy, C. (12752116500); Mojsilovic, A. (55900975000); Varshney, K.R. (14069407800)","57194613570; 58635833300; 35180457200; 7103406749; 56085779300; 12752116500; 55900975000; 14069407800","How to foster innovation: A data-driven approach to measuring economic competitiveness","2017","IBM Journal of Research and Development","61","6","8167366","","","","17","10.1147/JRD.2017.2741820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038613859&doi=10.1147%2fJRD.2017.2741820&partnerID=40&md5=4ee97aa422b4a34a8d8261c43c553fe3","Innovation is a key factor driving economic growth in countries worldwide. However, innovation is hard to define and, therefore, even harder to measure. To help policy makers and business leaders better understand how to foster innovation, we need robust ways to quantify innovation at local and global scales. In this work, we use a data-driven, machine-learning approach for measuring innovation. Analyzing a large number of country-level metrics, we aim to automatically discover actionable 'levers' of innovation. Using unsupervised learning methods, we determine groups of related world development indicators among a collection compiled by the World Bank. We then train a Group Lasso predictive model using data from the World Economic Forum (WEF) that captures the perceived level of innovation in 150 countries. Aside from providing high predictive accuracy, the Group Lasso also provides a model that is easily interpretable. The result is the Open Innovation Index (OII), an automatic global model for measuring innovation using machine learning algorithms and open data. We predict the OII scores for countries that only have World Development Indicators data and no existing WEF innovation scores. Furthermore, we also present case studies for which the innovation levers of a few representative countries are uncovered automatically by the proposed model. © 1957-2012 IBM.","","Artificial intelligence; Economics; Learning systems; Unsupervised learning; Business leaders; Data-driven approach; Economic competitiveness; Level of innovation; Machine learning approaches; Predictive accuracy; Predictive modeling; Unsupervised learning method; Learning algorithms","Article","Final","","Scopus","2-s2.0-85038613859"
"Carcary M.; Doherty E.; Conway G.","Carcary, Marian (42960927700); Doherty, Eileen (56028300700); Conway, Gerry (55332911600)","42960927700; 56028300700; 55332911600","Personal data protection (Pdp): A conceptual framework for organisational management of personal data in the digital context","2019","European Conference on Information Warfare and Security, ECCWS","2019-July","","","87","96","9","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069995226&partnerID=40&md5=e4c7c07f10f50e1460d85392d9218630","Leveraging insights from the personal data of customers can improve the decision-making capability of the organisation resulting in optimised operations, products, and services. However, in the digitally connected world the organisation is increasingly challenged to protect personal data and there is greater potential for inappropriate data use or disclosure, which can result in legal, financial, and reputational consequences for the organisation. Developments brought about by digital transformation increase the requirement for more stringent approaches to personal data protection to be implemented by the organisation. In most countries, data protection is taken very seriously and enforced through strict regulations (e.g. GDPR) which every organisation who holds personal data must adhere to. However, high-profile data breaches continue to occur. Research suggests that data protection controls have not kept pace with the degree to which organisations are experimenting with digital technologies and the unprecedented data volumes. Many organisations are unable to detect when or where their data systems have been breached. In order to comply with regulatory requirements to protect personal data and avoid potentially significant legal, financial, and reputational implications of a data breach, many organisations must improve their personal data protection approaches. This paper presents the key components or ‘capability building blocks’ of a conceptual framework in the area of Personal Data Protection (PDP) within the organisational context. This framework was developed based on the findings or themes that emerged from a systematic literature review (SLR) in this area followed by an open innovation approach. The resultant conceptual framework can be used by organisations to undertake a holistic analysis of their personal data protection capability. The framework also includes a set of POMs (Practices, Outcomes and Metrics) which acts as a roadmap for organisations to improve upon their current level of maturity in this area to effectively protect personal data and to demonstrate that the organisation is a trustworthy data custodian. © 2019, Curran Associates Inc. All rights reserved.","Data protection assessment; Data protection capability; GDPR; Personal data protection","Decision making; Laws and legislation; Metadata; Conceptual frameworks; Data protection assessment; Data protection capability; Decisions makings; GDPR; Optimized operations; Organizational management; Personal data protections; Product and services; Protection capabilities; Data privacy","Conference paper","Final","","Scopus","2-s2.0-85069995226"
"","","","On the Move to Meaningful Internet Systems, OTM 2010 Workshops - Confed. Int. Workshops and Posters: AVYTAT, ADI, DATAVIEW, EI2N, ISDE, MONET, OnToContent, ORM, P2P-CDVE, SeDeS, SWWS and OTMA, Proc.","2010","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6428 LNCS","","","","","729","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649506365&partnerID=40&md5=a871abb91f83be0af8b8f8b1c41cb15f","The proceedings contain 80 papers. The topics discussed include: first-step toward energy-aware adaptive business processes; credible reputation metric for P2P e-communities; a tool for QoS probability distribution estimation of web service compositions; methodologies of support to the execution of risk management; financier-led asset lease model; continuous MapReduce for In-DB stream analytics; approaches towards dealing with complex systems configuration; ASSERT4SOA: toward security certification of service-oriented applications; allowing citizens to self-compose personalized services: a cloud computing model; towards large-size ontology alignment by mapping groups of concepts; performance testing of semantic publish/subscribe systems; modeling and use of an ontology network for website recommendation systems; and the open innovation paradigm and the semantic web: an ontology for distributed product innovation.","","","Conference review","Final","","Scopus","2-s2.0-78649506365"
